taxid		
1913989	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;unclassified Gammaproteobacteria;Gammaproteobacteria bacterium	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__Gammaproteobacteria bacterium
2049433	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;unclassified Desulfobacteraceae;Desulfobacteraceae bacterium	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__;s__Desulfobacteraceae bacterium
2093369	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfurivibrio;unclassified Desulfurivibrio;Desulfurivibrio sp.	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae;g__Desulfurivibrio;s__Desulfurivibrio sp.
652676	unclassified entries;unclassified sequences;metagenomes;ecological metagenomes;hydrothermal vent metagenome	k__;p__;c__;o__;f__;g__;s__hydrothermal vent metagenome
2026770	cellular organisms;Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;unclassified Nitrospiraceae;Nitrospiraceae bacterium	k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;g__;s__Nitrospiraceae bacterium
2026770	cellular organisms;Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;unclassified Nitrospiraceae;Nitrospiraceae bacterium	k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;g__;s__Nitrospiraceae bacterium
2026770	cellular organisms;Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;unclassified Nitrospiraceae;Nitrospiraceae bacterium	k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;g__;s__Nitrospiraceae bacterium
2026770	cellular organisms;Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;unclassified Nitrospiraceae;Nitrospiraceae bacterium	k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;g__;s__Nitrospiraceae bacterium
2049433	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;unclassified Desulfobacteraceae;Desulfobacteraceae bacterium	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__;s__Desulfobacteraceae bacterium
2026735	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;unclassified Deltaproteobacteria;Deltaproteobacteria bacterium	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__;f__;g__;s__Deltaproteobacteria bacterium
2053538	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria incertae sedis;Candidatus Competibacteraceae;unclassified Candidatus Competibacteraceae;Candidatus Competibacteraceae bacterium	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__Candidatus Competibacteraceae;g__;s__Candidatus Competibacteraceae bacterium
2026770	cellular organisms;Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;unclassified Nitrospiraceae;Nitrospiraceae bacterium	k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;g__;s__Nitrospiraceae bacterium
69360	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Thiocapsa;Thiocapsa rosea	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Thiocapsa;s__Thiocapsa rosea
1003181	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Thiomargarita;Candidatus Thiomargarita nelsonii	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiomargarita;s__Candidatus Thiomargarita nelsonii
1814290	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Nitrosococcus;Nitrosococcus wardiae	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Nitrosococcus;s__Nitrosococcus wardiae
