	seqid	db	taxid	lineage
UniRef100_A0A1G0LG80	A0A1G0LG80	uniprot	1798315	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;unclassified Geobacteraceae
UniRef100_A0A1V5CB33	A0A1V5CB33	uniprot	1811715	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Syntrophorhabdales;Syntrophorhabdaceae;unclassified Syntrophorhabdaceae
UniRef100_A0A845L5L9	A0A845L5L9	uniprot	2699	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;Heliobacteriaceae;Heliomicrobium
UniRef100_A0A1T4W0S7	A0A1T4W0S7	uniprot	1123324	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinivibrio;Succinivibrio dextrinosolvens
UniRef100_A0A662ZLY5	A0A662ZLY5	uniprot		
UniRef100_A0A0X8X9T8	A0A0X8X9T8	uniprot	1052	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Halorhodospira
UniRef100_A0A0J6WY85	A0A0J6WY85	uniprot	1122219	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera cerevisiae
UniRef100_A0A1H0TUD5	A0A1H0TUD5	uniprot	971	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas
UniRef100_A0A1M4UKH7	A0A1M4UKH7	uniprot	1123243	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Schwartzia;Schwartzia succinivorans
UniRef100_U7UG21	U7UG21	uniprot	1111454	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera
UniRef100_A0A661CUI5	A0A661CUI5	uniprot	1913989	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;unclassified Gammaproteobacteria
UniRef100_A0A2U3JXY9	A0A2U3JXY9	uniprot	2043167	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter;unclassified Syntrophobacter
UniRef100_A0A2Y9U1N0	A0A2Y9U1N0	uniprot	2172103	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Budviciaceae;Limnobaculum
UniRef100_A0A0R1M0T4	A0A0R1M0T4	uniprot	1423731	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Liquorilactobacillus;Liquorilactobacillus capillatus
UniRef100_I4GUZ5	I4GUZ5	uniprot	1160282	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Microcystaceae;Microcystis;Microcystis aeruginosa
UniRef100_B8IRK8	B8IRK8	uniprot	460265	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium nodulans
UniRef100_K9QAC1	K9QAC1	uniprot	317936	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Nostocaceae;Nostoc;unclassified Nostoc
UniRef100_A0A177NK71	A0A177NK71	uniprot	702114	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylomonas
UniRef100_A0A522WSV7	A0A522WSV7	uniprot	2051955	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylobacter;unclassified Methylobacter
UniRef100_C7RME3	C7RME3	uniprot	522306	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Betaproteobacteria incertae sedis;Candidatus Accumulibacter
UniRef100_Q60BE2	Q60BE2	uniprot	243233	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylococcus;Methylococcus capsulatus
UniRef100_A0A1I2V2D1	A0A1I2V2D1	uniprot	1121424	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;Desulfallaceae;Desulfotruncus;Desulfotruncus arcticus
UniRef100_A0A1V1PHP6	A0A1V1PHP6	uniprot	890399	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Candidatus Magnetoglobus;Candidatus Magnetoglobus multicellularis
UniRef100_A0A2E6QPR2	A0A2E6QPR2	uniprot	1898112	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;unclassified Rhodospirillaceae
UniRef100_A0A2M9G3B5	A0A2M9G3B5	uniprot	2056226	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Minwuiales;Minwuiaceae;Minwuia
UniRef100_A0A564W9F0	A0A564W9F0	uniprot	2565273	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Defluviicoccus
UniRef100_A0A6B8KM50	A0A6B8KM50	uniprot	391905	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Methylocystaceae;Methylocystis
UniRef100_A0A7C9JB03	A0A7C9JB03	uniprot	2024963	cellular organisms;Bacteria;Thermodesulfobacteria;Thermodesulfobacteria;Thermodesulfobacteriales;Thermodesulfobacteriaceae;Caldimicrobium;unclassified Caldimicrobium
UniRef100_A0A7X8AZK5	A0A7X8AZK5	uniprot	2026735	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;unclassified Deltaproteobacteria
UniRef100_A5URS6	A5URS6	uniprot	357808	cellular organisms;Bacteria;Terrabacteria group;Chloroflexi;Chloroflexia;Chloroflexales;Roseiflexineae;Roseiflexaceae;Roseiflexus;unclassified Roseiflexus
UniRef100_D5C0Z1	D5C0Z1	uniprot	472759	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Nitrosococcus;Nitrosococcus halophilus
UniRef100_K9YF95	K9YF95	uniprot	65093	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Aphanothecaceae;Halothece cluster;Halothece;unclassified Halothece
UniRef100_A0A1S8TNC8	A0A1S8TNC8	uniprot	349938	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;unclassified Clostridium
UniRef100_A0A4R2SZU6	A0A4R2SZU6	uniprot	1734049	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Serpentinicella
UniRef100_A0A350XDQ4	A0A350XDQ4	uniprot	2055768	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;unclassified Cyanobacteria
UniRef100_A0A3B9K9P8	A0A3B9K9P8	uniprot	2028282	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;unclassified Lachnoclostridium
UniRef100_A0A218QNF3	A0A218QNF3	uniprot	2005459	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Tolypothrichaceae;Tolypothrix;unclassified Tolypothrix
UniRef100_A0A841VDF3	A0A841VDF3	uniprot	2681312	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Nostocaceae;Nostoc;unclassified Nostoc
UniRef100_R5EVV2	R5EVV2	uniprot	1262974	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinatimonas;environmental samples
UniRef100_A0A845R8M2	A0A845R8M2	uniprot	2304568	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;Eubacteriales incertae sedis;Colidextribacter;unclassified Colidextribacter
UniRef100_A0A2L2XEP1	A0A2L2XEP1	uniprot	1898651	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;Peptococcaceae;Desulfocucumis
UniRef100_A0A7C2VMR7	A0A7C2VMR7	uniprot	2026724	cellular organisms;Bacteria;Terrabacteria group;Chloroflexi;unclassified Chloroflexi
UniRef100_A0A841KVH5	A0A841KVH5	uniprot	1417629	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Anaerosolibacter
UniRef100_B9E3D7	B9E3D7	uniprot	583346	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium kluyveri
UniRef100_A0A3E1HHF6	A0A3E1HHF6	uniprot	2162698	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycobacterium
UniRef100_A0A6B8M3E9	A0A6B8M3E9	uniprot	134	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Methylocystaceae;Methylocystis
UniRef100_B2ICP8	B2ICP8	uniprot	395963	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Beijerinckia;Beijerinckia indica;Beijerinckia indica subsp. indica
UniRef100_A0A2U3JXM1	A0A2U3JXM1	uniprot	2043167	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter;unclassified Syntrophobacter
UniRef100_A0A011MD30	A0A011MD30	uniprot	1454001	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Betaproteobacteria incertae sedis;Candidatus Accumulibacter
UniRef100_A0A0U5MP26	A0A0U5MP26	uniprot	1663591	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Magnetospirillum;unclassified Magnetospirillum
UniRef100_A0A172U771	A0A172U771	uniprot	1727196	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylomonas;unclassified Methylomonas
UniRef100_A0A177N0G5	A0A177N0G5	uniprot	980561	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylomonas
UniRef100_A0A1V8M3G1	A0A1V8M3G1	uniprot	1420851	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methyloprofundus
UniRef100_A0A2W4QH42	A0A2W4QH42	uniprot	2202197	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcales incertae sedis;Candidatus Methylumidiphilus
UniRef100_A0A363SI62	A0A363SI62	uniprot	2072421	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;unclassified Rhodocyclales
UniRef100_A0A833GQF9	A0A833GQF9	uniprot	1917218	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Azonexaceae;Dechloromonas;unclassified Dechloromonas
UniRef100_Q47EZ8	Q47EZ8	uniprot	159087	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Azonexaceae;Dechloromonas;Dechloromonas aromatica
UniRef100_A3ZA64	A3ZA64	uniprot	221360	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus;unclassified Synechococcus
UniRef100_A0A068PC30	A0A068PC30	uniprot	312019	cellular organisms;Bacteria;Nitrospinae/Tectomicrobia group;Candidatus Tectomicrobia;Candidatus Entotheonella;environmental samples
UniRef100_A0A0H4WM09	A0A0H4WM09	uniprot	1297742	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Myxococcales;Cystobacterineae;Myxococcaceae;Myxococcus
UniRef100_A0A1H9WQ86	A0A1H9WQ86	uniprot	1761906	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Streptomycetales;Streptomycetaceae;Streptomyces;unclassified Streptomyces
UniRef100_A0A1Q2ZCU6	A0A1Q2ZCU6	uniprot	42234	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Streptomycetales;Streptomycetaceae;Streptomyces
UniRef100_A0A6I5DKZ9	A0A6I5DKZ9	uniprot		
UniRef100_A0A7V8NHJ8	A0A7V8NHJ8	uniprot	2545265	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Streptomycetales;Streptomycetaceae;Streptomyces;unclassified Streptomyces
UniRef100_C1F4Q0	C1F4Q0	uniprot	240015	cellular organisms;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacterium;Acidobacterium capsulatum
UniRef100_A0A1H9EM27	A0A1H9EM27	uniprot	657014	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Thalassobius
UniRef100_A0A3D9BY58	A0A3D9BY58	uniprot	1940533	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodosalinus
UniRef100_A0A4P6L982	A0A4P6L982	uniprot	59932	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus;unclassified Synechococcus
UniRef100_A0A7I8DKE9	A0A7I8DKE9	uniprot	2743772	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Bacillales;Alicyclobacillaceae;Effusibacillus
UniRef100_A0A1Z4NHN5	A0A1Z4NHN5	uniprot	2005462	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Calotrichaceae;Calothrix;unclassified Calothrix
UniRef100_A0A7L6A3I7	A0A7L6A3I7	uniprot	1917218	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Azonexaceae;Dechloromonas;unclassified Dechloromonas
UniRef100_A0A1C5CQR0	A0A1C5CQR0	uniprot	1839774	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Streptomycetales;Streptomycetaceae;Streptomyces;unclassified Streptomyces
UniRef100_A0A1W9WRC9	A0A1W9WRC9	uniprot	1972443	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;unclassified Desulfobacteraceae
UniRef100_A0A6N6S4J2	A0A6N6S4J2	uniprot	2172549	cellular organisms;Bacteria;PVC group;Planctomycetota;Candidatus Brocadiia;Candidatus Brocadiales;Candidatus Brocadiaceae;Candidatus Brocadia;unclassified Candidatus Brocadia
UniRef100_A0A7X4Y402	A0A7X4Y402	uniprot	2024383	cellular organisms;Bacteria;Aquificae;Aquificae;Aquificales;Aquificaceae;Thermocrinis;unclassified Thermocrinis
UniRef100_A0A4Q0MTM2	A0A4Q0MTM2	uniprot		
UniRef100_A0A7Y7D379	A0A7Y7D379	uniprot	2052174	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Methylocystaceae;unclassified Methylocystaceae
UniRef100_A0A0P4UT70	A0A0P4UT70	uniprot	1552121	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Pseudanabaenales;Leptolyngbyaceae;Leptolyngbya;unclassified Leptolyngbya
UniRef100_A0A0S3U8C3	A0A0S3U8C3	uniprot	1752064	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Pseudanabaenales;Leptolyngbyaceae;Leptolyngbya;unclassified Leptolyngbya
UniRef100_K8GFC2	K8GFC2	uniprot	864702	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Pseudanabaenales;Leptolyngbyaceae;unclassified Leptolyngbyaceae
UniRef100_A0A846CVK4	A0A846CVK4	uniprot	2607790	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales;Oscillatoriaceae;Okeania;unclassified Okeania
UniRef100_A0A357A6G2	A0A357A6G2	uniprot	2055778	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;unclassified Cyanobacteria
UniRef100_A0A1C0VI14	A0A1C0VI14	uniprot	1881015	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Nostocaceae;Nostoc;unclassified Nostoc
UniRef100_A0A350XDQ8	A0A350XDQ8	uniprot	2055768	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;unclassified Cyanobacteria
UniRef100_A0A328I9P3	A0A328I9P3	uniprot	2109628	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Hapalosiphonaceae;unclassified Hapalosiphonaceae
UniRef100_A0A6I7PUY0	A0A6I7PUY0	uniprot	2049432	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;unclassified Chromatiaceae
UniRef100_A0A2N6JYX2	A0A2N6JYX2	uniprot	2019572	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Hapalosiphonaceae;Fischerella;Fischerella muscicola
UniRef100_A0A1U7I503	A0A1U7I503	uniprot	1357508	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Nostocaceae;Nostoc;Nostoc calcicola
UniRef100_A0A1Q8QSG6	A0A1Q8QSG6	uniprot	1844708	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;unclassified Desulfovibrio
UniRef100_C4XH22	C4XH22	uniprot	573370	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Solidesulfovibrio;Solidesulfovibrio magneticus
UniRef100_A0A2G6KWP3	A0A2G6KWP3	uniprot	1913989	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;unclassified Gammaproteobacteria
UniRef100_A0A2G6L6E8	A0A2G6L6E8	uniprot	1913989	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;unclassified Gammaproteobacteria
UniRef100_A0A1H6RDF6	A0A1H6RDF6	uniprot	170623	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Azotobacter group;Azotobacter
UniRef100_D4H2A7	D4H2A7	uniprot	522772	cellular organisms;Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Geovibrionaceae;Denitrovibrio;Denitrovibrio acetiphilus
UniRef100_A0A239D842	A0A239D842	uniprot	147047	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Humidesulfovibrio
UniRef100_B8EIK7	B8EIK7	uniprot	395965	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Methylocella;Methylocella silvestris
UniRef100_A0A7W7Z3S5	A0A7W7Z3S5	uniprot	87461	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Rhodopseudomonas
UniRef100_W6N5N2	W6N5N2	uniprot	1408889	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium tyrobutyricum
UniRef100_A0A212J8Z0	A0A212J8Z0	uniprot	167968	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;environmental samples
UniRef100_A0A4R3KF44	A0A4R3KF44	uniprot	86956	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Pectinatus
UniRef100_A0A7Y4JRK1	A0A7Y4JRK1	uniprot	2316736	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Myxococcales;Cystobacterineae;Myxococcaceae;Corallococcus
UniRef100_A0A424Y479	A0A424Y479	uniprot	2293856	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Tindallia;unclassified Tindallia
UniRef100_D0GJ79	D0GJ79	uniprot	596323	cellular organisms;Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;Pseudoleptotrichia goodfellowii
UniRef100_H5Y3X1	H5Y3X1	uniprot	768710	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;Desulfitobacteriaceae;Desulfosporosinus;Desulfosporosinus youngiae
UniRef100_I4H6X3	I4H6X3	uniprot	1160283	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Microcystaceae;Microcystis;Microcystis aeruginosa
UniRef100_A0A3B9QA35	A0A3B9QA35	uniprot	1981025	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;unclassified Sutterella
UniRef100_A0A6I1EVQ8	A0A6I1EVQ8	uniprot	1944635	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella
UniRef100_H3KBX1	H3KBX1	uniprot	762967	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella parvirubra
UniRef100_A0A177Q9Z8	A0A177Q9Z8	uniprot	1799664	cellular organisms;Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Nitrospira;unclassified Nitrospira
UniRef100_A0A1E7J4J4	A0A1E7J4J4	uniprot	1869299	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfobacterales;unclassified Desulfobacterales
UniRef100_A0A4Q0XUF8	A0A4Q0XUF8	uniprot	2044504	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Arcobacteraceae;Candidatus Marinarcus
UniRef100_A0A651FB57	A0A651FB57	uniprot	2448050	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfovibrionales;unclassified Desulfovibrionales
UniRef100_A0A1L5NM04	A0A1L5NM04	uniprot	56730	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Rhizobium/Agrobacterium group;Rhizobium
UniRef100_A0A3S4JTJ1	A0A3S4JTJ1	uniprot	1871066	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;unclassified Mesorhizobium
UniRef100_B8IEI6	B8IEI6	uniprot	460265	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium nodulans
UniRef100_A0A7C9N8K1	A0A7C9N8K1	uniprot	2024963	cellular organisms;Bacteria;Thermodesulfobacteria;Thermodesulfobacteria;Thermodesulfobacteriales;Thermodesulfobacteriaceae;Caldimicrobium;unclassified Caldimicrobium
UniRef100_E8LKR5	E8LKR5	uniprot	762983	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinatimonas;Succinatimonas hippei
UniRef100_H6SLG8	H6SLG8	uniprot	1150469	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Pararhodospirillum;Pararhodospirillum photometricum
UniRef100_A0A2Z5SQ36	A0A2Z5SQ36	uniprot	35554	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter
UniRef100_A0A329EI42	A0A329EI42	uniprot	135735	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Bacillales;Bacillaceae;Priestia
UniRef100_A0A366XXT8	A0A366XXT8	uniprot	273032	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus
UniRef100_A0A7X2LZU2	A0A7X2LZU2	uniprot	1983721	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Bacillales;Bacillaceae;Metabacillus
UniRef100_V8C957	V8C957	uniprot	1357400	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter macacae
UniRef100_A0A0U1NTS6	A0A0U1NTS6	uniprot	1499688	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Bacillales;Bacillaceae;Neobacillus
UniRef100_A0A0J6WYS1	A0A0J6WYS1	uniprot	1122219	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera cerevisiae
UniRef100_A0A134CI50	A0A134CI50	uniprot	1588748	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera
UniRef100_A0A120KNS9	A0A120KNS9	uniprot	1785996	cellular organisms;Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;unclassified Leptotrichia
UniRef100_C6JML8	C6JML8	uniprot	469618	cellular organisms;Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium varium
UniRef100_D4CT77	D4CT77	uniprot	546275	cellular organisms;Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium periodonticum
UniRef100_A0A3D0EEZ3	A0A3D0EEZ3	uniprot	1898207	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;unclassified Eubacteriales
UniRef100_A0A848ER41	A0A848ER41	uniprot	907	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera
UniRef100_H3K4P7	H3K4P7	uniprot	742816	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis
UniRef100_I8RDC8	I8RDC8	uniprot	1149862	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Negativicutes;Selenomonadales;Sporomusaceae;Pelosinus;Pelosinus fermentans
UniRef100_A0A6I0ESH3	A0A6I0ESH3	uniprot	553427	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;Heliobacteriaceae;Heliorestis
UniRef100_A0A2U3L8A6	A0A2U3L8A6	uniprot	2043167	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter;unclassified Syntrophobacter
UniRef100_A0A7Y3EY69	A0A7Y3EY69	uniprot	2044940	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfobacterales;unclassified Desulfobacterales
