	seqid	db	taxid	lineage	lineage_taxonkit	k	p	c	o	f	g	s	p_r
UniRef100_A0A2V2G6L9	A0A2V2G6L9	uniprot	2049043.0	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;unclassified Desulfovibrionaceae	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__;s__Desulfovibrionaceae bacterium	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	NA	Desulfovibrionaceae bacterium	Proteobacteria
UniRef100_A0A352LP97	A0A352LP97	uniprot	1981025.0	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;unclassified Sutterella	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella;s__Sutterella sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	Sutterella sp.	Proteobacteria
UniRef100_A0A5C7T941	A0A5C7T941	uniprot	164330.0	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Thauera	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Zoogloeaceae;g__Thauera;s__Thauera aminoaromatica	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Thauera	Thauera aminoaromatica	Proteobacteria
UniRef100_A0A6A8QF43	A0A6A8QF43	uniprot	2079197.0	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Telmatospirillum;unclassified Telmatospirillum	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Telmatospirillum;s__Telmatospirillum sp.	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Telmatospirillum	Telmatospirillum sp.	Proteobacteria
UniRef100_A0A7R6WAE3	A0A7R6WAE3	uniprot	2020875.0	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methyloprofundus;unclassified Methyloprofundus	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methyloprofundus;s__Methyloprofundus sp.	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methyloprofundus	Methyloprofundus sp.	Proteobacteria
UniRef100_A4YAC7	A4YAC7	uniprot	319224.0	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella;Shewanella putrefaciens	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Shewanella;s__Shewanella putrefaciens	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella putrefaciens	Proteobacteria
UniRef100_I0HTR6	I0HTR6	uniprot	983917.0	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Rubrivivax;Rubrivivax gelatinosus	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sphaerotilaceae;g__Rubrivivax;s__Rubrivivax gelatinosus	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sphaerotilaceae	Rubrivivax	Rubrivivax gelatinosus	Proteobacteria
UniRef100_Q5P8B6	Q5P8B6	uniprot	76114.0	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Aromatoleum;Aromatoleum aromaticum	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__Aromatoleum;s__Aromatoleum aromaticum	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Aromatoleum	Aromatoleum aromaticum	Proteobacteria
UniRef100_A0A135YPH7	A0A135YPH7	uniprot	1261.0	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcus	k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Peptostreptococcus;s__Peptostreptococcus anaerobius	Bacteria	Bacillota	Clostridia	Eubacteriales	Peptostreptococcaceae	Peptostreptococcus	Peptostreptococcus anaerobius	Bacillota
UniRef100_A0A1Q6QD87	A0A1Q6QD87	uniprot	1897006.0	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;unclassified Faecalibacterium	k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Faecalibacterium;s__Faecalibacterium sp. CAG:82-related_59_9	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Faecalibacterium	Faecalibacterium sp. CAG:82-related_59_9	Bacillota
UniRef100_A0A1Q7DC32	A0A1Q7DC32	uniprot	1805366.0	cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Rokubacteria;unclassified Candidatus Rokubacteria	k__Bacteria;p__Candidatus Rokubacteria;c__;o__;f__;g__;s__Candidatus Rokubacteria bacterium 13_1_40CM_68_15	Bacteria	Candidatus Rokubacteria	NA	NA	NA	NA	Candidatus Rokubacteria bacterium 13_1_40CM_68_15	Other
UniRef100_A0A371IS60	A0A371IS60	uniprot	2020948.0	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Romboutsia	k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Romboutsia;s__Romboutsia maritimum	Bacteria	Bacillota	Clostridia	Eubacteriales	Peptostreptococcaceae	Romboutsia	Romboutsia maritimum	Bacillota
